Rank,Driver_Number,Team,Country,Driver,Hours,Minutes,Seconds,Variation_Hours,Variation_Minutes,Variation_Seconds,Penalty_Hours,Penalty_Minutes,Penalty_Seconds,Stage
116,143,PEDREGA TEAM,Mexico,HECTOR GUERRERO,25,2,7,10,29,16,0,38,0,3
117,85,TBRACING,France,THIERRY BETHYS,25,25,48,10,52,57,0,30,0,3
118,121,NOMADE RACING,France,JAMES SIMONIN,26,0,1,11,27,10,0,20,10,3
119,178,DRAG'ON RALLY TEAM,France,SAMUEL DESBUISSON,26,24,49,11,51,58,0,55,0,3
120,179,HANI ALNOUMESI,Saudi Arabia,ALNOUMESI HANI,29,1,37,14,28,46,0,5,0,3
121,95,XRAIDS EXPERIENCE,Spain,DOMINIQUE CIZEAU GIRAULT,29,53,16,15,20,25,0,30,0,3
122,21,DUUST RALLY TEAM,United States,JACOB ARGUBRIGHT,34,46,16,20,13,25,0,5,0,3
123,45,KOVE,China,SUNIER SUNIER,56,15,0,41,42,9,0,0,10,3
124,63,ORION - MOTO RACING GROUP,Czech Republic,JAROMIR ROMANCIK,62,10,22,47,37,31,0,34,0,3
125,69,BAS WORLD KTM RACING TEAM,Spain,CESAR ROJO,65,56,41,51,23,50,0,32,0,3
126,56,TEAM MARCIC,Slovenia,SIMON MARCIC,75,15,52,60,43,1,0,0,0,3
127,109,CLUB AVENTURA TOUAREG,Morocco,MOHAMED SAID AOULAD ALI,76,1,47,61,28,56,0,24,0,3
128,173,DRAGON,Argentina,FRANCISCO MORENO FLORES,79,46,51,65,14,0,0,45,0,3
129,92,VENDETTA RACING UAE,United Kingom,DAVID MABBS,83,41,51,69,9,0,0,0,0,3
130,125,ZERANTA,Italy,IADER GIRALDI,87,46,56,73,14,5,0,0,0,3
131,118,ALL1 TEAM,Spain,FERNANDO CONDE TARGA,10,3,4,94,1,53,0,45,0,3
132,134,TWINTRAIL RACING TEAM,Spain,ISAAC FELIU,11,5,2,10,25,31,0,0,0,3
1,11,MONSTER ENERGY HONDA TEAM,Chile,JOSE IGNACIO CORNEJO FLORIMO,17,27,13,0,0,0,0,0,0,4
2,46,HERO MOTOSPORTS TEAM RALLY,Botswana,ROSS BRANCH,17,28,28,0,1,15,0,1,0,4
3,9,MONSTER ENERGY HONDA TEAM,United States,RICKY BRABEC,17,32,9,0,4,56,0,1,0,4
4,47,RED BULL KTM FACTORY RACING,Argentina,KEVIN BENAVIDES,17,47,52,0,20,39,0,0,0,4
