Score,Form,Group
8.85,Cailifoquan (Choy Lay Fut),D
8.82,Cailifoquan (Choy Lay Fut),D
8.8,Cailifoquan (Choy Lay Fut),D
8.71,Cailifoquan (Choy Lay Fut),D
8.55,Cailifoquan (Choy Lay Fut),D
8.82,Chaquan,D
8.51,Chaquan,D
8.45,Chaquan,D
8.34,Chaquan,D
(DNS),Other Double Weapon Routines,E/F
(DNS),Other Double Weapon Routines,E/F
(DNS),Other Double Weapon Routines,E/F
9.1,Chaquan,D
9,Chaquan,D
8.95,Chaquan,D
8.74,Chaquan,D
8.73,Chaquan,D
8.66,Chaquan,D
8.56,Chaquan,D
8.55,Chaquan,D
8.54,Chaquan,D
8.52,Chaquan,D
8.46,Chaquan,D
8.4,Chaquan,D
8.88,Chen Style,D
8.69,Chen Style,D
8.66,Chen Style,D
8.62,Chen Style,D
8.6,Chen Style,D
8.55,Chen Style,D
8.55,Chen Style,D
(DNS),other Taijiquan Routines,B/C
8.52,Chen Style,D
8.43,Chen Style,D
8.37,Chen Style,D
8.75,Chen Style,D
8.71,Chen Style,D
8.68,Chen Style,D
8.63,Chen Style,D
8.6,Chen Style,D
8.74,Dao (Broadsword),D
8.71,Dao (Broadsword),D
8.69,Dao (Broadsword),D
8.67,Dao (Broadsword),D
8.64,Dao (Broadsword),D
8.62,Dao (Broadsword),D
8.62,Dao (Broadsword),D
8.61,Dao (Broadsword),D
8.61,Dao (Broadsword),D
(DNS),Chen Style,D
8.6,Dao (Broadsword),D
8.6,Dao (Broadsword),D
8.6,Dao (Broadsword),D
8.56,Dao (Broadsword),D
8.55,Dao (Broadsword),D
8.53,Dao (Broadsword),D
8.53,Dao (Broadsword),D
8.52,Dao (Broadsword),D
8.52,Dao (Broadsword),D
8.5,Dao (Broadsword),D
8.48,Dao (Broadsword),D
8.46,Dao (Broadsword),D
8.46,Dao (Broadsword),D
8.41,Dao (Broadsword),D
8.25,Dao (Broadsword),D
8.2,Dao (Broadsword),D
8.67,Dao (Broadsword),D
8.64,Dao (Broadsword),D
8.59,Dao (Broadsword),D
8.57,Dao (Broadsword),D
8.56,Dao (Broadsword),D
8.51,Dao (Broadsword),D
8.49,Dao (Broadsword),D
8.46,Dao (Broadsword),D
8.43,Dao (Broadsword),D
8.89,Fanziquan,D
8.88,Fanziquan,D
8.83,Fanziquan,D
8.65,Fanziquan,D
8.58,Fanziquan,D
8.5,Fanziquan,D
8.73,Guandao (Kwan Dao),D
8.68,Guandao (Kwan Dao),D
(DNS),Other Taijiquan Routines,E
8.68,Guandao (Kwan Dao),D
8.64,Guandao (Kwan Dao),D
8.57,Guandao (Kwan Dao),D
8.55,Guandao (Kwan Dao),D
8.55,Guandao (Kwan Dao),D
8.54,Guandao (Kwan Dao),D
8.45,Guandao (Kwan Dao),D
8.44,Guandao (Kwan Dao),D
8.43,Guandao (Kwan Dao),D
8.37,Guandao (Kwan Dao),D
8.14,Guandao (Kwan Dao),D
7.94,Guandao (Kwan Dao),D
8.8,Gun,D
8.75,Gun,D
8.72,Gun,D
8.71,Gun,D
8.66,Gun,D
8.66,Gun,D
8.65,Gun,D
8.63,Gun,D
8.61,Gun,D
8.6,Gun,D
8.59,Gun,D
8.58,Gun,D
8.57,Gun,D
8.55,Gun,D
8.53,Gun,D
8.52,Gun,D
8.5,Gun,D
8.49,Gun,D
8.48,Gun,D
8.47,Gun,D
8.46,Gun,D
(DNS),Dao (Broadsword),D
(DNS),Dao (Broadsword),D
8.45,Gun,D
8.42,Gun,D
8.41,Gun,D
8.72,Gun,D
8.68,Gun,D
8.66,Gun,D
8.62,Gun,D
8.59,Gun,D
8.49,Gun,D
8.41,Gun,D
8.4,Gun,D
8.36,Gun,D
8.32,Gun,D
8.82,Hongjiaquan (Hung Gar),D
(DNS),Guandao (Kwan Dao),D
(DNS),Guandao (Kwan Dao),D
8.79,Hongjiaquan (Hung Gar),D
8.77,Hongjiaquan (Hung Gar),D
8.64,Hongjiaquan (Hung Gar),D
8.61,Hongjiaquan (Hung Gar),D
8.6,Hongjiaquan (Hung Gar),D
8.56,Hongjiaquan (Hung Gar),D
8.5,Hongjiaquan (Hung Gar),D
8.74,Hongjiaquan (Hung Gar),D
8.65,Hongjiaquan (Hung Gar),D
8.62,Hongjiaquan (Hung Gar),D
8.58,Hongjiaquan (Hung Gar),D
(DNS),Other Taijiquan Routines,B/C
8.55,Hongjiaquan (Hung Gar),D
8.9,Jian (Straight Sword),D
8.7,Jian (Straight Sword),D
8.67,Jian (Straight Sword),D
(DNS),Chen Style,C
8.66,Jian (Straight Sword),D
8.6,Jian (Straight Sword),D
8.59,Jian (Straight Sword),D
8.56,Jian (Straight Sword),D
8.55,Jian (Straight Sword),D
8.53,Jian (Straight Sword),D
8.51,Jian (Straight Sword),D
8.49,Jian (Straight Sword),D
8.49,Jian (Straight Sword),D
8.48,Jian (Straight Sword),D
(DNS),Chen Style,D
8.46,Jian (Straight Sword),D
8.45,Jian (Straight Sword),D
8.44,Jian (Straight Sword),D
9,Jian (Straight Sword),D
8.65,Jian (Straight Sword),D
8.6,Jian (Straight Sword),D
8.59,Jian (Straight Sword),D
8.58,Jian (Straight Sword),D
8.55,Jian (Straight Sword),D
8.52,Jian (Straight Sword),D
8.5,Jian (Straight Sword),D
8.48,Jian (Straight Sword),D
8.47,Jian (Straight Sword),D
8.45,Jian (Straight Sword),D
8.43,Jian (Straight Sword),D
8.41,Jian (Straight Sword),D
8.4,Jian (Straight Sword),D
8.61,Jiujiebian (Nine Section Whip Chain),D
(DNS),Other Taijiquan Routines,D
8.58,Jiujiebian (Nine Section Whip Chain),D
8.53,Jiujiebian (Nine Section Whip Chain),D
9.05,Nandao (Southern Broadsword),D
8.95,Nandao (Southern Broadsword),D
8.87,Nandao (Southern Broadsword),D
8.82,Nandao (Southern Broadsword),D
8.67,Nandao (Southern Broadsword),D
8.5,Nandao (Southern Broadsword),D
9,Nandao (Southern Broadsword),D
8.8,Nandao (Southern Broadsword),D
8.71,Nandao (Southern Broadsword),D
8.6,Nandao (Southern Broadsword),D
8.59,Nandao (Southern Broadsword),D
8.57,Nandao (Southern Broadsword),D
8.7,Nangun,D
8.63,Nangun,D
8.59,Nangun,D
(DNS),Other Taijiquan Routines,E
8.58,Nangun,D
8.57,Nangun,D
8.56,Nangun,D
8.53,Nangun,D
8.39,Nangun,D
9.25,Other Barehand Routines,D
9.15,Other Barehand Routines,D
9.12,Other Barehand Routines,D
9.1,Other Barehand Routines,D
9.02,Other Barehand Routines,D
9,Other Barehand Routines,D
(DNS),Other Taijiquan Routines,F
8.89,Other Barehand Routines,D
8.88,Other Barehand Routines,D
8.86,Other Barehand Routines,D
8.84,Other Barehand Routines,D
8.83,Other Barehand Routines,D
8.83,Other Barehand Routines,D
8.77,Other Barehand Routines,D
8.75,Other Barehand Routines,D
8.74,Other Barehand Routines,D
8.6,Other Barehand Routines,D
8.5,Other Barehand Routines,D
8.46,Other Barehand Routines,D
8.43,Other Barehand Routines,D
8.42,Other Barehand Routines,D
8.32,Other Barehand Routines,D
8.32,Other Barehand Routines,D
8.29,Other Barehand Routines,D
8.22,Other Barehand Routines,D
8.02,Other Barehand Routines,D
7.82,Other Barehand Routines,D
9,Other Barehand Routines,D
8.95,Other Barehand Routines,D
8.81,Other Barehand Routines,D
8.72,Other Barehand Routines,D
(DNS),Gun (Cudgel/Sta?),D
8.69,Other Barehand Routines,D
8.67,Other Barehand Routines,D
8.66,Other Barehand Routines,D
8.64,Other Barehand Routines,D
8.63,Other Barehand Routines,D
8.61,Other Barehand Routines,D
8.61,Other Barehand Routines,D
8.59,Other Barehand Routines,D
8.57,Other Barehand Routines,D
8.57,Other Barehand Routines,D
8.57,Other Barehand Routines,D
8.56,Other Barehand Routines,D
8.56,Other Barehand Routines,D
8.55,Other Barehand Routines,D
8.55,Other Barehand Routines,D
8.54,Other Barehand Routines,D
(DNS),Jian (Straight Sword),D
(DNS),Jian (Straight Sword),D
8.53,Other Barehand Routines,D
8.51,Other Barehand Routines,D
8.51,Other Barehand Routines,D
