Page,Form,Rank,Team,Athlete,Score,Remark
,Men's Flexible/Soft-weapon routines_Other routines Group D,Default,CHN,WANG Shengrong,,
,Men's Flexible/Soft-weapon routines_Other routines Group D,Default,CHN,WANG Chongkai,,
,Men's Flexible/Soft-weapon routines_Other routines Group D,Default,CHN,QUMU Yiguo,,
Wushu Taolu,Men's Single-weapon routines_ Chen Style Taijijian Group D,1,HKG,SAT Pak Long,9,Gold
,Men's Single-weapon routines_ Chen Style Taijijian Group D,2,HKG,LEE Tin Lok,8.99,Silver
,Men's Single-weapon routines_ Chen Style Taijijian Group D,3,MAC,LI Shaoyue,8.92,Bronze
,Men's Single-weapon routines_ Chen Style Taijijian Group D,4,INA,Erick Citra LOEIS,8.91,Second Prize
,Men's Single-weapon routines_ Chen Style Taijijian Group D,5,AIN,Andrei SOROKIN,8.84,Second Prize
,Men's Single-weapon routines_ Chen Style Taijijian Group D,6,AIN,Vasilii KISLITSYN,8.76,Third Prize
,Men's Single-weapon routines_ Chen Style Taijijian Group D,7,SGP,LOW Julian,8.74,Third Prize
,Men's Single-weapon routines_ Chen Style Taijijian Group D,8,GEO,Mate KORTKHONJIA,8.71,Third Prize
,Men's Single-weapon routines_ Chen Style Taijijian Group D,9,ITA,Gianluigi BISONI,8.66,Third Prize
,Men's Single-weapon routines_ Chen Style Taijijian Group D,10,FRA,Virgile SICARD,8.59,
,Men's Single-weapon routines_ Chen Style Taijijian Group D,11,MEX,Alan Agustin MARTINEZ GARCIA,8.55,
,Men's Single-weapon routines_ Chen Style Taijijian Group D,12,JPN,KOJIMA Ryuhei,8.48,
,Men's Single-weapon routines_ Chen Style Taijijian Group D,13,NZL,Jichuan LI,8.13,
Wushu Taolu,Men's Single-weapon routines_Other Taijijian Group D,1,MAC,ZHANG Pok Yui,8.95,First Prize
,Men's Single-weapon routines_Other Taijijian Group D,2,HKG,KWONG Long Yui,8.85,Second Prize
,Men's Single-weapon routines_Other Taijijian Group D,3,HKG,LEUNG Yat Sing,8.84,Second Prize
,Men's Single-weapon routines_Other Taijijian Group D,4,MAC,HAN Soi Wa,8.8,Third Prize
,Men's Single-weapon routines_Other Taijijian Group D,5,AIN,Ivan KRASNOBAEV,8.73,Third Prize
,Men's Single-weapon routines_Other Taijijian Group D,6,EGY,Basel ABDALLA,8.7,Third Prize
,Men's Single-weapon routines_Other Taijijian Group D,7,HKG,WU Guanxi,8.64,
,Men's Single-weapon routines_Other Taijijian Group D,8,IND,Kamal Kumar BORO,8.61,
,Men's Single-weapon routines_Other Taijijian Group D,9,SGP,SNG Wei Liang Davion,8.61,
,Men's Single-weapon routines_Other Taijijian Group D,10,ESP,Mario SIMóN GARCíA,8.52,
,Men's Single-weapon routines_Other Taijijian Group D,Default,AFG,Niknam FAZLURRAHMAN,,
Wushu Taolu,Men's Single-weapon routines_ Other Taiji weapon Group D,1,POR,Salvador GUERREIRO,8.57,First Prize
,Men's Single-weapon routines_ Other Taiji weapon Group D,2,EGY,Moustafa EMISH,8.34,Second Prize
,Men's Single-weapon routines_ Other Taiji weapon Group D,3,USA,Parke BOWMAN,8.31,Third Prize
,Men's Single-weapon routines_ Other Taiji weapon Group D,Default,BRA,Lucas MACHADO FRADE GALATI,,
,Men's Single-weapon routines_ Other Taiji weapon Group D,Default,SRI,Anuhas Chandupa Ranaweera IMI ARACHCHILLAGE,,
,Men's Single-weapon routines_ Other Taiji weapon Group D,Default,IND,Arkeshwar MEDATWAL,,
Wushu Taolu,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,1,AIN,Aksiniia SHCHUKINA,8.94,Gold
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,2,JPN,ODAGIRI Emi,8.86,Silver
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,3,TUR,Elif AKYUZ,8.86,Bronze
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,4,UKR,Alina KRYSKO,8.77,Second Prize
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,5,BRA,Brenda SILVA DOS SANTOS,8.65,Second Prize
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,6,CAN,Susanna NG,8.61,Third Prize
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,7,IND,Shreya KUMARI,8.6,Third Prize
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,8,MEX,Karime Janet MORALES CASAS,8.58,Third Prize
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,9,FRA,Laetitia TAN,8.57,Third Prize
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,10,AUT,Julia LINERT,8.57,
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,11,MEX,Diana Lizeth MEDRANO MENDOZA,8.52,
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,12,AUS,Jian Yi KOO,8.21,
,Women's Double-weapon routines_Shuangjian (Double Straight Sword) Group D,Default,USA,Ailani CASTILLA,,
Wushu Taolu,Women's Flexible/Soft-weapon routines Group D,1,HKG,LAU Po Yan,8.85,First Prize
,Women's Flexible/Soft-weapon routines Group D,2,ITA,Elisabetta SIRTO,8.78,Second Prize
,Women's Flexible/Soft-weapon routines Group D,3,ROU,Denisa Ruxandra ANASTASIU,8.68,Second Prize
,Women's Flexible/Soft-weapon routines Group D,4,IND,Bala Harshini DINESH KUMAR,8.68,Third Prize
,Women's Flexible/Soft-weapon routines Group D,5,POL,Magda Krystyna SKIBA,8.62,Third Prize
,Women's Flexible/Soft-weapon routines Group D,6,GRE,Isidora PAPACHRISTOU,8.62,Third Prize
,Women's Flexible/Soft-weapon routines Group D,7,BEL,DOEHAERD Yuna,8.56,
Wushu Taolu,Women's Single-weapon routines_Shanzi (Fan) Group D,1,EGY,Jana Emad Mohamed Mostafa,8.82,First Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,2,TUR,Ecrin COKHAMUR,8.78,First Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,3,MEX,Michelle MENA TORRES,8.69,Second Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,4,HUN,Eniko VIZI,8.68,Second Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,5,MEX,Grace Guadalupe DE LA ROSA LIRA,8.67,Second Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,6,HUN,Dóra Tímea HORVáTH,8.6,Third Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,7,POR,Beatriz PINHO,8.56,Third Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,8,GBR,Tyra Ruqaiyah EDWARDS-WALKER,8.46,Third Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,9,AUS,Veronica FUNG,8.26,Third Prize
,Women's Single-weapon routines_Shanzi (Fan) Group D,10,NED,Lyly Diep TRAN,8.23,
,Women's Single-weapon routines_Shanzi (Fan) Group D,11,USA,Li Ying LU,8.17,
,Women's Single-weapon routines_Shanzi (Fan) Group D,Default,ESP,Alba NInO GONZALEZ,,
Wushu Taolu,Women's Single-weapon routines_Taijishan Group D,1,SGP,TAY Kai Xin Ranice,8.96,First Prize
,Women's Single-weapon routines_Taijishan Group D,2,AIN,Anastasiia DEEVA,8.87,Second Prize
,Women's Single-weapon routines_Taijishan Group D,3,AIN,Alena KONEVA,8.73,Second Prize
,Women's Single-weapon routines_Taijishan Group D,4,FRA,Flora POINT,8.61,Third Prize
,Women's Single-weapon routines_Taijishan Group D,5,GEO,Niia CHKHAIDZE,8.59,Third Prize
,Women's Single-weapon routines_Taijishan Group D,6,FRA,Nina NGUYEN,8.52,Third Prize
,Women's Single-weapon routines_Taijishan Group D,7,RSA,Jessica Milissa JACOBS,8.44,
Wushu Taolu,Bare-hand Duilian(2 Persons),1,ESP,Francisco GARCIA MAZUECOS/Vicente Miguel RAJA CATALA,8.77,First Prize
,Bare-hand Duilian(2 Persons),2,AIN,Tikhon NIKITIN/Dmitrii TIUNOV,8.73,Second Prize
,Bare-hand Duilian(2 Persons),3,KAZ,Alkarim ZHADIGER/Ilya POTSKHVERIYA,8.7,Second Prize
,Bare-hand Duilian(2 Persons),4,BEL,Loic HENRIOULLE/Jonathan VERHEYEN,8.65,Third Prize
,Bare-hand Duilian(2 Persons),5,GER,Kai JANSEN/Anna Paulina JANSEN,8.61,Third Prize
,Bare-hand Duilian(2 Persons),6,ITA,Ivo ZEDDA/Gianluigi BISONI,8.6,Third Prize
,Bare-hand Duilian(2 Persons),7,TJK,Mavlon SAFAROV/Eleonora FAIZOVA,8.58,
,Bare-hand Duilian(2 Persons),8,TUN,Kadri MOHAMED YASSIN/Sghaier ELA,8.54,
,Bare-hand Duilian(2 Persons),Default,ALG,Belghazi ZINE EL ABIDINE/Bouloudenine BILAL,,
Wushu Taolu,Weapon Duilian(2 Persons),1,LAT,Nikita KOKINS/Anastasija VLASENKO,8.61,First Prize
,Weapon Duilian(2 Persons),2,BRA,Flavio Henrique CASSIANO/Katemann Akemi VALENTIM UEMOTO,8.6,First Prize
,Weapon Duilian(2 Persons),3,USA,Julian THIO/Matthew Yum Ping WONG,8.6,Second Prize
,Weapon Duilian(2 Persons),4,NED,Ferran Tomás NIEUWKAMER SANCHEZ/Jesse KONICKX,8.6,Second Prize
,Weapon Duilian(2 Persons),5,KGZ,Aisalkyn TASHMATOVA/Eles KOKUMBEK KYZY,8.49,Second Prize
,Weapon Duilian(2 Persons),6,FRA,Flora POINT/Soimanga ANDRIAMANANTSOA,8.47,Third Prize
,Weapon Duilian(2 Persons),7,POL,Magda Krystyna SKIBA/Wiktoria Klaudia DeBOSZ,8.46,Third Prize
,Weapon Duilian(2 Persons),8,POR,António INáCIO/Daniel DAVID,8.42,Third Prize
,Weapon Duilian(2 Persons),9,AUT,Julia LINERT/Maryse Suzanne VALIN-LINERT,8.39,Third Prize
,Weapon Duilian(2 Persons),10,MAS,HUE Zi Wei/TAN Jaslyn Yu Ching,8.38,
,Weapon Duilian(2 Persons),11,GEO,Gvantsa KARCHAVA/Mariam ARZIANI,8.2,
,Weapon Duilian(2 Persons),Default,IND,Bhanu SINGH/Rezina TAMANG,,
Wushu Taolu,Other Duilian,1,UKR,Volodymyr SHYNKARENKO/Bohdan NAIDA/Mykyta KOVALOV,8.88,First Prize
,Other Duilian,2,TUR,Furkan Osman SAYINER/Onur OZTURK/Deniz SABOTIC,8.75,Second Prize
,Other Duilian,3,SGP,NG Chun Sheng/CHENG Kei Win,8.7,Second Prize
,Other Duilian,4,CZE,Lukas HUSAK/Petr BURES,8.66,Third Prize
,Other Duilian,5,EGY,Ramy Ramadan Mohamed/Fares ELSHOURBAGI/Moustafa EMISH,8.59,Third Prize
,Other Duilian,6,GRE,Theodoros Marios PAPATHANASIOU/Panagiotis TOUROUTSIKAS,8.55,
Wushu Taolu,Women's Single-weapon routines_ Chen Style Taijijian Group E,1,GEO,Maka GABESKIRIA,8.83,First Prize
,Women's Single-weapon routines_ Chen Style Taijijian Group E,2,SGP,NG Chiew Yen,8.74,Second Prize
,Women's Single-weapon routines_ Chen Style Taijijian Group E,3,USA,Michelle BENSI,8.66,Second Prize
,Women's Single-weapon routines_ Chen Style Taijijian Group E,4,MEX,Miriam Ocotlan MACEDA ROCHA,8.6,Third Prize
,Women's Single-weapon routines_ Chen Style Taijijian Group E,5,MEX,Elizabeth GARCIA MARTINEZ,8.57,Third Prize
,Women's Single-weapon routines_ Chen Style Taijijian Group E,6,USA,Annie Laurie CATES,8.49,Third Prize
,Women's Single-weapon routines_ Chen Style Taijijian Group E,7,KAZ,Tatyana BORTA,8.46,
,Women's Single-weapon routines_ Chen Style Taijijian Group E,8,BUL,Antoniya STOYANOVA,8.38,
,Women's Single-weapon routines_ Chen Style Taijijian Group E,9,BUL,Nataliya TRIFONOVA,8.36,
,Women's Single-weapon routines_ Chen Style Taijijian Group E,Default,CHN,ZHENG Caixia,,
Wushu Taolu,Women's Single-weapon routines_Yang Style Taijijian Group E,1,KAZ,Tatyana ZHIGALKINA,8.62,First Prize
,Women's Single-weapon routines_Yang Style Taijijian Group E,2,CAN,Siaw Kin Agnes LEE,8.61,Second Prize
,Women's Single-weapon routines_Yang Style Taijijian Group E,3,MAC,MA Wai Soi,8.6,Second Prize
,Women's Single-weapon routines_Yang Style Taijijian Group E,4,HKG,NG Lai Ling Maggie,8.54,Third Prize
,Women's Single-weapon routines_Yang Style Taijijian Group E,5,HKG,YU Li,8.5,Third Prize
,Women's Single-weapon routines_Yang Style Taijijian Group E,6,HKG,WONG Tak Wing Teresa,8.47,Third Prize
,Women's Single-weapon routines_Yang Style Taijijian Group E,7,HKG,YU Suk Fei,8.4,
,Women's Single-weapon routines_Yang Style Taijijian Group E,8,HKG,WONG Yin Ling Elaine,8.39,
,Women's Single-weapon routines_Yang Style Taijijian Group E,9,HKG,WAN Sin Pui,8.37,
,Women's Single-weapon routines_Yang Style Taijijian Group E,10,HKG,CHAN Hung Regina,8.33,
,Women's Single-weapon routines_Yang Style Taijijian Group E,Default,AUS,Ling Meng KOO,,
Wushu Taolu,Women's Single-weapon routines_42-posture Taijijian Group E,1,HKG,WONG Wing Yan Josephine,8.78,First Prize
,Women's Single-weapon routines_42-posture Taijijian Group E,2,USA,Jie GU,8.75,Second Prize
,Women's Single-weapon routines_42-posture Taijijian Group E,3,HKG,FUJITA Makiko,8.62,Second Prize
,Women's Single-weapon routines_42-posture Taijijian Group E,4,AUT,Maryse Suzanne VALIN-LINERT,8.6,Third Prize
,Women's Single-weapon routines_42-posture Taijijian Group E,5,JPN,KAMBARA Yumi,8.59,Third Prize
,Women's Single-weapon routines_42-posture Taijijian Group E,6,USA,Qiong LI,8.57,Third Prize
,Women's Single-weapon routines_42-posture Taijijian Group E,7,CAN,ZHANG Chunying,8.56,
Wushu Taolu,Women's Single-weapon routines_ Other Taiji weapon Group E,1,SGP,CHEN Shanli,8.76,First Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,2,MAC,LEI Sut Keng,8.71,First Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,3,JPN,ONO Kimiyo,8.6,Second Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,4,LAT,Laura BURAKA,8.59,Second Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,5,USA,Jennifer WEITZ,8.56,Second Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,6,USA,Sally KIDWELL,8.51,Third Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,7,USA,Xia CHEN,8.47,Third Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,8,USA,Katerina PLSKOVA,8.45,Third Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,9,JPN,IWAMOTO Tamami,8.42,Third Prize
,Women's Single-weapon routines_ Other Taiji weapon Group E,10,MEX,Kitzia Mercedes ARIAS CAMPOS,8.34,
,Women's Single-weapon routines_ Other Taiji weapon Group E,11,GRE,Sofia ZISI,8.21,
,Women's Single-weapon routines_ Other Taiji weapon Group E,Default,CAN,Siaw Kin Agnes LEE,,
Wushu Taolu,Women's Single-weapon routines_shanzi Group E,1,BRA,Paula AMIDANI SOARES DE AZEVEDO,8.71,First Prize
,Women's Single-weapon routines_shanzi Group E,2,INA,Kris DAYANTI,8.68,Second Prize
,Women's Single-weapon routines_shanzi Group E,3,INA,Ivonny BUDIONO,8.58,Second Prize
,Women's Single-weapon routines_shanzi Group E,4,HUN,Mária ARUTYUNJAN,8.55,Third Prize
,Women's Single-weapon routines_shanzi Group E,5,INA,Lina SANTOSO,8.4,Third Prize
,Women's Single-weapon routines_shanzi Group E,6,BRA,Nina ROMANO CARDOSO SILVESTRE,8.36,
Wushu Taolu,Women's Single-weapon routines_Taijishan Group,1,USA,Fong ZHANG,8.85,First Prize
,Women's Single-weapon routines_Taijishan Group,2,USA,Peikai WANG,8.57,Second Prize
,Women's Single-weapon routines_Taijishan Group,3,USA,Shaoping WANG,8.55,Second Prize
,Women's Single-weapon routines_Taijishan Group,4,KGZ,Liubov SERIAKOVA,8.52,Third Prize
,Women's Single-weapon routines_Taijishan Group,5,POR,Mariana LOPES,8.49,Third Prize
,Women's Single-weapon routines_Taijishan Group,6,FRA,Yue DU QIAN,8.48,Third Prize
,Women's Single-weapon routines_Taijishan Group,7,FRA,Sophie FOUCHER,8.46,
Wushu Taolu,Men's Single-weapon routines_ Taiji weapon Group A,1,CAN,Jinrong Jayden ZHANG,7.76,First Prize
,Men's Single-weapon routines_ Taiji weapon Group A,2,BRU,Samuel Yong Jun ONG,7.6,First Prize
,Men's Single-weapon routines_ Taiji weapon Group A,3,CAN,Yiyuan Jonathan ZHANG,7.58,Second Prize
,Men's Single-weapon routines_ Taiji weapon Group A,4,USA,Henry Mengxuan HE,7.36,Second Prize
,Men's Single-weapon routines_ Taiji weapon Group A,5,USA,Micah YU,7.35,Third Prize
,Men's Single-weapon routines_ Taiji weapon Group A,6,USA,Brendan HOANG,7.23,Third Prize
,Men's Single-weapon routines_ Taiji weapon Group A,Default,AFG,Eshaqi HAMMAD TAHA,,
Wushu Taolu,Men's Single-weapon routines_Taiji weapon Group,1,CAN,Junchen YANG,8.68,First Prize
,Men's Single-weapon routines_Taiji weapon Group,2,HKG,WONG Yu Chit,8.62,Second Prize
,Men's Single-weapon routines_Taiji weapon Group,3,USA,Albert LIU,8.6,Second Prize
,Men's Single-weapon routines_Taiji weapon Group,4,NZL,Oliver QIAO,8.5,Third Prize
,Men's Single-weapon routines_Taiji weapon Group,5,MAS,WONG Yew Shen,8.47,Third Prize
,Men's Single-weapon routines_Taiji weapon Group,6,NZL,HUANG Ziyi,8.41,Third Prize
,Men's Single-weapon routines_Taiji weapon Group,7,HKG,LEUNG Jonas Ka Fuk,8.36,
,Men's Single-weapon routines_Taiji weapon Group,8,ROU,Alexandru UDISTEANU ASLAN,8.25,
,Men's Single-weapon routines_Taiji weapon Group,9,HUN,Bence VIDA,8.21,
,Men's Single-weapon routines_Taiji weapon Group,10,EGY,Mohamed SHALABI,8.21,
Wushu Taolu,Men's Single-weapon routines_Other routines Group F,1,SGP,KWAN Siew Hung,8.75,First Prize
,Men's Single-weapon routines_Other routines Group F,2,JPN,OTAKA Kazuhiko,8.69,First Prize
,Men's Single-weapon routines_Other routines Group F,3,POR,Alcino CUNHA,8.66,First Prize
,Men's Single-weapon routines_Other routines Group F,4,RSA,Allan Jonathan HACKNER,8.6,Second Prize
,Men's Single-weapon routines_Other routines Group F,5,USA,Ebert KAN,8.56,Second Prize
,Men's Single-weapon routines_Other routines Group F,6,USA,Jeffrey REXFORD,8.46,Second Prize
,Men's Single-weapon routines_Other routines Group F,7,BRA,Roberto DOS SANTOS DE OLIVEIRA,8.45,Third Prize
,Men's Single-weapon routines_Other routines Group F,8,USA,John JOSEPHSON,8.45,Third Prize
,Men's Single-weapon routines_Other routines Group F,9,KGZ,Evgenii LOPATKIN,8.43,Third Prize
,Men's Single-weapon routines_Other routines Group F,10,HUN,Mihály József KOSZOGOVITS,8.37,Third Prize
,Men's Single-weapon routines_Other routines Group F,11,JPN,FUKUNISHI Tadashi,8.32,
,Men's Single-weapon routines_Other routines Group F,Default,ARG,Claudio Walter SCHUMPERLI,,
,Men's Single-weapon routines_Other routines Group F,Default,CHN,XU Yuhuan,,
Wushu Taolu,Men's Single-weapon routines -Other routines Group B,1,USA,Ethan CHAN,8.5,First Prize
,Men's Single-weapon routines -Other routines Group B,2,AUS,Ashton Tsz Pui CHAN,8.45,Second Prize
,Men's Single-weapon routines -Other routines Group B,3,USA,Jared ARROYO,8.42,Second Prize
,Men's Single-weapon routines -Other routines Group B,4,USA,Eric CHENG,8.4,Third Prize
,Men's Single-weapon routines -Other routines Group B,5,CAN,Jixiang YU,8.35,Third Prize
,Men's Single-weapon routines -Other routines Group B,6,USA,Theodore WONG,8.34,Third Prize
,Men's Single-weapon routines -Other routines Group B,7,EGY,Taha SHARABIA,8.25,
Wushu Taolu,Women's Single-weapon routines_Qiang (Spear) Group B,1,USA,Winifred Zhen Ping LI,8.7,First Prize
,Women's Single-weapon routines_Qiang (Spear) Group B,2,HKG,NAGY Seleney Simone,8.66,Second Prize
,Women's Single-weapon routines_Qiang (Spear) Group B,3,AUS,Larissa Tiffany Yongyan CHOI,8.55,Second Prize
,Women's Single-weapon routines_Qiang (Spear) Group B,4,NZL,Yihang LI,8.5,Third Prize
,Women's Single-weapon routines_Qiang (Spear) Group B,5,CAN,LI Wanglan,8.35,Third Prize
,Women's Single-weapon routines_Qiang (Spear) Group B,6,ARG,Julieta Agustina ALABARCE MIRANDA,8.26,
Wushu Taolu,Women's Single-weapon routines_Dao (Broadsword) Group B,1,HKG,TANG Ching Wan,8.58,First Prize
,Women's Single-weapon routines_Dao (Broadsword) Group B,2,KAZ,Stanislava BELONOGOVA,8.56,Second Prize
,Women's Single-weapon routines_Dao (Broadsword) Group B,3,USA,Amy GUO,8.53,Second Prize
,Women's Single-weapon routines_Dao (Broadsword) Group B,4,BRU,Sarah Xue Mae TAN,8.46,Third Prize
,Women's Single-weapon routines_Dao (Broadsword) Group B,5,BRU,Mae Qi LIM,8.43,Third Prize
,Women's Single-weapon routines_Dao (Broadsword) Group B,6,MAS,CHOK Xin Hui,8.4,Third Prize
,Women's Single-weapon routines_Dao (Broadsword) Group B,7,MAC,LEONG I Tong,8.38,
,Women's Single-weapon routines_Dao (Broadsword) Group B,8,POR,Maria NOGUEIRA,8.35,
Wushu Taolu,Women's Flexible/Soft-weapon routines_Jiujiebian Group C,1,AIN,Mariia KALUGINA,8.46,First Prize
,Women's Flexible/Soft-weapon routines_Jiujiebian Group C,2,USA,Sofia CHERKASOVA,8.45,Second Prize
Wushu Taolu,Women's Single-weapon routines_Other routines Group F,1,USA,Xiaoan WANG,8.48,First Prize
,Women's Single-weapon routines_Other routines Group F,2,FRA,Consiglia CIABURRI,8.4,Second Prize
,Women's Single-weapon routines_Other routines Group F,Default,AUS,Cheng Choo Khoo,,
Wushu Taolu,Men's Double-weapon routines Group B,1,AIN,Victor KHREMUCHKOV,8.62,First Prize
,Men's Double-weapon routines Group B,2,HKG,HE Dragon,8.57,First Prize
,Men's Double-weapon routines Group B,3,SGP,WENG Linxu,8.5,Second Prize
,Men's Double-weapon routines Group B,4,USA,Timothy TAFF,8.5,Second Prize
,Men's Double-weapon routines Group B,5,USA,Jayden CANDRA,8.46,Second Prize
,Men's Double-weapon routines Group B,6,FRA,Aaron COHEN,8.45,Third Prize
,Men's Double-weapon routines Group B,7,USA,Nathan CHAN,8.41,Third Prize
,Men's Double-weapon routines Group B,8,MAC,CHEOK Wa Weng,8.39,Third Prize
,Men's Double-weapon routines Group B,9,USA,Aaron PINEDO,8.37,Third Prize
,Men's Double-weapon routines Group B,10,USA,Brayden ROLDAN,8.36,
,Men's Double-weapon routines Group B,11,FRA,Andrej DENIC,8.26,
Wushu Taolu,Men's Single-weapon routines_Pudao/Dadao Group B,1,LAT,Mihails FISKISS,8.45,First Prize
,Men's Single-weapon routines_Pudao/Dadao Group B,2,MEX,Bruno Armando DELGADO HOLGUIN,8.42,Second Prize
,Men's Single-weapon routines_Pudao/Dadao Group B,3,USA,Adam CHAI,8.41,Second Prize
,Men's Single-weapon routines_Pudao/Dadao Group B,4,USA,Ethan YUE,8.38,Third Prize
,Men's Single-weapon routines_Pudao/Dadao Group B,5,EGY,Sif SALAMA,8.32,Third Prize
,Men's Single-weapon routines_Pudao/Dadao Group B,6,USA,Alphard SHI,8.3,Third Prize
,Men's Single-weapon routines_Pudao/Dadao Group B,7,CAN,Michael Yujia HAO,8.28,
,Men's Single-weapon routines_Pudao/Dadao Group B,8,EGY,Karim GEBRIL,8.2,
,Men's Single-weapon routines_Pudao/Dadao Group B,Default,HKG,HO Yau Tong Princeton,,
Wushu Taolu,Women's weapon -Other routines Group,1,USA,Anya AN,7.61,First Prize
,Women's weapon -Other routines Group,2,USA,Emina JIAN,7.55,First Prize
,Women's weapon -Other routines Group,3,USA,Florence Linh Lan KYI,7.53,Second Prize
,Women's weapon -Other routines Group,4,USA,Angelina YU,7.5,Second Prize
,Women's weapon -Other routines Group,5,HKG,FENG Yik Man,7.44,Third Prize
,Women's weapon -Other routines Group,6,HKG,XIA Wan Zhi Grace,7.43,Third Prize
,Women's weapon -Other routines Group,7,USA,Angela WONG,7.41,Third Prize
,Women's weapon -Other routines Group,8,USA,Madelyn WANG,7.36,
,Women's weapon -Other routines Group,Default,USA,Mochen Jasmine LI,,
Wushu Taolu,Women's Single-weapon routines_Jian (Straight Sword) Group B,1,HKG,CHAN Lois Jo,8.63,First Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group B,2,NZL,Annie HARRIS,8.55,Second Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group B,3,GEO,Barbare GATCHAVA,8.44,Second Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group B,4,USA,Jordan NGO,8.36,Third Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group B,5,USA,Emma NG,8.35,Third Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group B,6,USA,Charlee POT,8.32,Third Prize
,Women's Single-weapon routines_Jian (Straight Sword) Group B,7,CAN,YI Litianzhen,8.26,
Wushu Taolu,Women's Single-weapon routines_Gun (Cudgel/Staff) Group B,1,AIN,Sofia PODGORKINA,8.61,First Prize
,Women's Single-weapon routines_Gun (Cudgel/Staff) Group B,2,ROU,Andrada Maria RADU MIC,8.49,Second Prize
,Women's Single-weapon routines_Gun (Cudgel/Staff) Group B,3,AIN,Katsiaryna SHANAIKOVA,8.44,Second Prize
,Women's Single-weapon routines_Gun (Cudgel/Staff) Group B,4,ITA,Laila PIOVESAN,8.4,Third Prize
,Women's Single-weapon routines_Gun (Cudgel/Staff) Group B,5,GRE,Vasiliki LABOUSI,8.3,Third Prize
,Women's Single-weapon routines_Gun (Cudgel/Staff) Group B,6,USA,Solange COLASSE,8.27,Third Prize
,Women's Single-weapon routines_Gun (Cudgel/Staff) Group B,7,USA,Claire TJHIN,8.14,
Wushu Taolu,Women's Double-weapon routines Group B,1,AIN,Anna PETUKHOVA,8.64,First Prize
,Women's Double-weapon routines Group B,2,FRA,Annie SCHUR CHEN,8.64,Second Prize
,Women's Double-weapon routines Group B,3,CAN,Yanjie LIU,8.51,Second Prize
,Women's Double-weapon routines Group B,4,MAS,HUE Zi Wei,8.48,Third Prize
,Women's Double-weapon routines Group B,5,NZL,Alyson Ziming ZHU,8.44,Third Prize
,Women's Double-weapon routines Group B,6,USA,Adriana ZHU,8.43,Third Prize
,Women's Double-weapon routines Group B,7,MAC,LEONG Wai Lam,8.4,
,Women's Double-weapon routines Group B,8,GRE,Despoina MICHOU,8.37,
,Women's Double-weapon routines Group B,9,USA,Natalie SUDIBYO,8.26,
,Women's Double-weapon routines Group B,Default,USA,Ishita KOTRA,,
Wushu Taolu,Women's Single-weapon routines_Dao (Broadsword) Group C,1,TUR,Afra KILINC,8.67,First Prize
,Women's Single-weapon routines_Dao (Broadsword) Group C,2,HKG,CHAN Hoi Ching,8.61,Second Prize
,Women's Single-weapon routines_Dao (Broadsword) Group C,3,AIN,Zlata SHMAKOVA,8.6,Second Prize
,Women's Single-weapon routines_Dao (Broadsword) Group C,4,CZE,Helena RIHACKOVA,8.48,Third Prize
,Women's Single-weapon routines_Dao (Broadsword) Group C,5,TUR,Sude Merve ALTUN,8.47,Third Prize
,Women's Single-weapon routines_Dao (Broadsword) Group C,6,GBR,Chiara EZAD PANAH,8.43,Third Prize
,Women's Single-weapon routines_Dao (Broadsword) Group C,7,USA,Emma HUANG,8.38,
,Women's Single-weapon routines_Dao (Broadsword) Group C,8,GRE,Spyridoula DOUDOUNI,8.36,
