Page,Form,Rank,Team,Athlete,Score,Remark
,Men's Third-type bare-hand routines Group C,11,CAN,WANG Tengyi,8.42,
,Men's Third-type bare-hand routines Group C,12,CZE,Moris BENYSEK,8.38,
,Men's Third-type bare-hand routines Group C,13,MEX,Arhat MENEZ ALARCON,8.37,
,Men's Third-type bare-hand routines Group C,14,USA,Luke WAGNER,8.36,
,Men's Third-type bare-hand routines Group C,Default,MEX,Patrick BARKER SOLIS,,
Wushu Taolu,Men's Fourth-type bare-hand routine_Chaquan Group C,1,EGY,Ammar mohamed ibrahim Sonbol,8.71,First Prize
,Men's Fourth-type bare-hand routine_Chaquan Group C,2,KAZ,Kirill MALEYEV,8.68,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group C,3,TUN,El Mabrouk RAFED,8.56,Second Prize
,Men's Fourth-type bare-hand routine_Chaquan Group C,4,USA,Lawren BAI,8.53,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group C,5,GEO,Nikolozi NUTSUBIDZE,8.51,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group C,6,IND,Aatish Raj RAJKUMAR,8.39,Third Prize
,Men's Fourth-type bare-hand routine_Chaquan Group C,7,USA,Sean WAGNER,8.38,
Wushu Taolu,Men's Fifth-type bare-hand routines_Shaolinquan Group C,1,KAZ,Alizhan MUKHAMETOV,8.69,Gold
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,2,ITA,Giorgio BELMONTE,8.59,Silver
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,3,GRE,Georgios LABOUSIS,8.57,Bronze
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,4,GRE,Charalambos Iosif MATHIOPOULOS,8.54,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,5,GRE,Stefanos LINAKIS,8.51,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,6,USA,Nathaniel FONG,8.49,Second Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,7,GRE,Evaggelos FOTEINOGIANNOPOULOS,8.48,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,8,ROU,Darius Valentin URUCU,8.44,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,9,KAZ,Ilya POTSKHVERIYA,8.41,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,10,USA,Eshaan NAIR,8.37,Third Prize
,Men's Fifth-type bare-hand routines_Shaolinquan Group C,11,USA,Aaron LEE,8.36,Third Prize
