Score,Group,Form
8.94,D,Hung Gar Kune (Hongjia Quan)
8.87,D,Hung Gar Kune (Hongjia Quan)
8.86,D,Hung Gar Kune (Hongjia Quan)
8.84,D,Hung Gar Kune (Hongjia Quan)
8.83,D,Hung Gar Kune (Hongjia Quan)
8.82,D,Hung Gar Kune (Hongjia Quan)
8.82,D,Hung Gar Kune (Hongjia Quan)
8.81,D,Hung Gar Kune (Hongjia Quan)
8.78,D,Hung Gar Kune (Hongjia Quan)
8.77,D,Hung Gar Kune (Hongjia Quan)
8.75,D,Hung Gar Kune (Hongjia Quan)
NA,D,Hung Gar Kune (Hongjia Quan)
9.01,D,Imitation Eagle Style
8.91,D,Imitation Eagle Style
8.9,D,Imitation Eagle Style
8.84,D,Imitation Eagle Style
8.75,D,Imitation Eagle Style
8.75,D,Imitation Eagle Style
9.25,D,Imitation Other Styles
9.07,D,Imitation Other Styles
9.06,D,Imitation Other Styles
9,D,Imitation Other Styles
9,D,Imitation Other Styles
8.96,D,Imitation Other Styles
8.92,D,Imitation Other Styles
8.91,D,Imitation Other Styles
8.9,D,Imitation Other Styles
8.89,D,Imitation Other Styles
8.89,D,Imitation Other Styles
8.86,D,Imitation Other Styles
8.82,D,Imitation Other Styles
NA,D,Imitation Other Styles
NA,D,Imitation Other Styles
9.28,D,Jian (Straight Sword)
9.17,D,Jian (Straight Sword)
9.09,D,Jian (Straight Sword)
9,D,Jian (Straight Sword)
8.99,D,Jian (Straight Sword)
8.93,D,Jian (Straight Sword)
8.93,D,Jian (Straight Sword)
8.92,D,Jian (Straight Sword)
8.9,D,Jian (Straight Sword)
8.82,D,Jian (Straight Sword)
8.78,D,Jian (Straight Sword)
8.75,D,Jian (Straight Sword)
8.73,D,Jian (Straight Sword)
8.7,D,Jian (Straight Sword)
8.61,D,Jian (Straight Sword)
9.17,D,Jiu Jie Bian (Nine Section Whip Chain)
9,D,Jiu Jie Bian (Nine Section Whip Chain)
8.9,D,Jiu Jie Bian (Nine Section Whip Chain)
8.86,D,Jiu Jie Bian (Nine Section Whip Chain)
8.77,D,Jiu Jie Bian (Nine Section Whip Chain)
8.67,D,Jiu Jie Bian (Nine Section Whip Chain)
8.56,D,Jiu Jie Bian (Nine Section Whip Chain)
9.12,D,Nan Dao (Southern Broadsword)
9,D,Nan Dao (Southern Broadsword)
8.99,D,Nan Dao (Southern Broadsword)
8.99,D,Nan Dao (Southern Broadsword)
8.91,D,Nan Dao (Southern Broadsword)
8.9,D,Nan Dao (Southern Broadsword)
8.8,D,Nan Dao (Southern Broadsword)
8.75,D,Nan Dao (Southern Broadsword)
8.75,D,Nan Dao (Southern Broadsword)
8.73,D,Nan Dao (Southern Broadsword)
8.66,D,Nan Dao (Southern Broadsword)
NA,D,Nan Dao (Southern Broadsword)
9.24,D,Nan Gun (Southern Staff/Cudgel)
9.19,D,Nan Gun (Southern Staff/Cudgel)
9.15,D,Nan Gun (Southern Staff/Cudgel)
8.99,D,Nan Gun (Southern Staff/Cudgel)
8.97,D,Nan Gun (Southern Staff/Cudgel)
8.93,D,Nan Gun (Southern Staff/Cudgel)
8.89,D,Nan Gun (Southern Staff/Cudgel)
8.86,D,Nan Gun (Southern Staff/Cudgel)
8.85,D,Nan Gun (Southern Staff/Cudgel)
8.82,D,Nan Gun (Southern Staff/Cudgel)
8.76,D,Nan Gun (Southern Staff/Cudgel)
8.75,D,Nan Gun (Southern Staff/Cudgel)
8.73,D,Nan Gun (Southern Staff/Cudgel)
8.72,D,Nan Gun (Southern Staff/Cudgel)
8.71,D,Nan Gun (Southern Staff/Cudgel)
8.66,D,Nan Gun (Southern Staff/Cudgel)
9.05,D,Other Southern Styles Nanquan
9.02,D,Other Southern Styles Nanquan
8.99,D,Other Southern Styles Nanquan
8.93,D,Other Southern Styles Nanquan
8.86,D,Other Southern Styles Nanquan
8.85,D,Other Southern Styles Nanquan
8.85,D,Other Southern Styles Nanquan
8.82,D,Other Southern Styles Nanquan
8.82,D,Other Southern Styles Nanquan
8.8,D,Other Southern Styles Nanquan
8.8,D,Other Southern Styles Nanquan
8.8,D,Other Southern Styles Nanquan
8.79,D,Other Southern Styles Nanquan
8.78,D,Other Southern Styles Nanquan
8.78,D,Other Southern Styles Nanquan
8.76,D,Other Southern Styles Nanquan
8.72,D,Other Southern Styles Nanquan
8.65,D,Other Southern Styles Nanquan
9.08,D,Other Taiji Jian
9.07,D,Other Taiji Jian
8.97,D,Other Taiji Jian
8.94,D,Other Taiji Jian
8.86,D,Other Taiji Jian
8.76,D,Other Taiji Jian
8.76,D,Other Taiji Jian
8.7,D,Other Taiji Jian
8.37,D,Other Taiji Jian
9.03,D,Other Taijiquan
9,D,Other Taijiquan
8.87,D,Other Taijiquan
8.84,D,Other Taijiquan
8.83,D,Other Taijiquan
8.81,D,Other Taijiquan
8.81,D,Other Taijiquan
8.8,D,Other Taijiquan
8.8,D,Other Taijiquan
8.79,D,Other Taijiquan
8.73,D,Other Taijiquan
8.72,D,Other Taijiquan
8.42,D,Other Taijiquan
8.98,D,Other Traditional Double Weapon
8.96,D,Other Traditional Double Weapon
8.9,D,Other Traditional Double Weapon
8.88,D,Other Traditional Double Weapon
8.87,D,Other Traditional Double Weapon
8.86,D,Other Traditional Double Weapon
8.85,D,Other Traditional Double Weapon
8.85,D,Other Traditional Double Weapon
8.83,D,Other Traditional Double Weapon
8.77,D,Other Traditional Double Weapon
8.72,D,Other Traditional Double Weapon
8.71,D,Other Traditional Double Weapon
NA,D,Other Traditional Double Weapon
9.03,D,Other Traditional Flexible/Soft Weapon
9,D,Other Traditional Flexible/Soft Weapon
8.97,D,Other Traditional Flexible/Soft Weapon
8.94,D,Other Traditional Flexible/Soft Weapon
8.88,D,Other Traditional Flexible/Soft Weapon
8.86,D,Other Traditional Flexible/Soft Weapon
8.85,D,Other Traditional Flexible/Soft Weapon
8.84,D,Other Traditional Flexible/Soft Weapon
8.83,D,Other Traditional Flexible/Soft Weapon
8.72,D,Other Traditional Flexible/Soft Weapon
9.26,D,Other Traditional Single Weapon
9.15,D,Other Traditional Single Weapon
8.98,D,Other Traditional Single Weapon
8.91,D,Other Traditional Single Weapon
8.9,D,Other Traditional Single Weapon
8.86,D,Other Traditional Single Weapon
8.85,D,Other Traditional Single Weapon
8.83,D,Other Traditional Single Weapon
8.81,D,Other Traditional Single Weapon
8.78,D,Other Traditional Single Weapon
8.65,D,Other Traditional Single Weapon
9.14,D,Other Types of Traditional Styles
9.13,D,Other Types of Traditional Styles
9.08,D,Other Types of Traditional Styles
9.05,D,Other Types of Traditional Styles
9.03,D,Other Types of Traditional Styles
9.01,D,Other Types of Traditional Styles
9,D,Other Types of Traditional Styles
8.99,D,Other Types of Traditional Styles
8.97,D,Other Types of Traditional Styles
8.96,D,Other Types of Traditional Styles
8.95,D,Other Types of Traditional Styles
8.89,D,Other Types of Traditional Styles
8.87,D,Other Types of Traditional Styles
8.86,D,Other Types of Traditional Styles
8.85,D,Other Types of Traditional Styles
8.85,D,Other Types of Traditional Styles
8.84,D,Other Types of Traditional Styles
8.83,D,Other Types of Traditional Styles
8.83,D,Other Types of Traditional Styles
8.82,D,Other Types of Traditional Styles
8.82,D,Other Types of Traditional Styles
8.81,D,Other Types of Traditional Styles
8.76,D,Other Types of Traditional Styles
8.75,D,Other Types of Traditional Styles
8.73,D,Other Types of Traditional Styles
8.71,D,Other Types of Traditional Styles
8.71,D,Other Types of Traditional Styles
8.69,D,Other Types of Traditional Styles
8.65,D,Other Types of Traditional Styles
NA,D,Other Types of Traditional Styles
NA,D,Other Types of Traditional Styles
9.15,D,Pudao
9.04,D,Pudao
9.01,D,Pudao
8.92,D,Pudao
8.88,D,Pudao
8.83,D,Pudao
8.81,D,Pudao
8.65,D,Pudao
NA,D,Pudao
