Sex,Form,Group,Team,Athlete,Score
M,bare hand routines Other routines,E,ESP,Vicente Miguel RAJA CATALA,9.1
M,bare hand routines Other routines,E,USA,Gerard SILVA,8.88
M,bare hand routines Other routines,E,FRA,Ludovic REY,8.85
M,bare hand routines Other routines,E,FRA,Alexandre PATUREL,8.83
M,bare hand routines Other routines,E,USA,Jason BUCKWALTER,8.76
M,bare hand routines Other routines,E,AUS,John Arthur CALLAGHAN,8.75
M,bare hand routines Other routines,E,POL,Roman Andrzej LICHACZ,8.73
M,bare hand routines Other routines,E,JPN,IWAMOTO Junya,8.71
M,bare hand routines Other routines,E,AUS,Brian HONG,8.52
M,bare hand routines Other routines,E,FRA,Marc - Aurèle DARCHE,8.45
M,bare hand routines Other routines,E,ARG,Rosalino GAUTO OLIVERA,8.44
M,Nanquan type routines Cailifoquan (Choy Lay Fut),E,BRA,Marco APARECIDO MARTIM JUNIOR,8.98
M,Nanquan type routines Cailifoquan (Choy Lay Fut),E,POL,Sebastian Krzysztof OLESZCZUK,8.79
M,Nanquan type routines Cailifoquan (Choy Lay Fut),E,FRA,Benoist DELEXTRAT,8.68
M,Nanquan type routines Cailifoquan (Choy Lay Fut),E,POR,Sérgio ALMEIDA,8.58
M,Nanquan type routines Cailifoquan (Choy Lay Fut),E,POL,Marek Antoni USZKUR,8.49
M,Nanquan type routines Cailifoquan (Choy Lay Fut),E,ARG,Carlos Alberto PUEBLA,8.48
M,Nanquan type routines Hongjiaquan (Hung Gar),E,BRA,Richard LEUTZ,8.91
M,Nanquan type routines Hongjiaquan (Hung Gar),E,FRA,Kévin HENG,8.81
M,Nanquan type routines Hongjiaquan (Hung Gar),E,BEL,Moubarak DAOUDI,8.76
M,Nanquan type routines Hongjiaquan (Hung Gar),E,BRA,Marcos DIMANFA BONGIANNI,8.73
M,Nanquan type routines Hongjiaquan (Hung Gar),E,POL,Konrad MAsNICKI,8.68
M,Nanquan type routines Hongjiaquan (Hung Gar),E,POL,Lukasz Arkadiusz DERZKO,8.64
M,Nanquan type routines Hongjiaquan (Hung Gar),E,POL,Grzegorz RYCHLEWSKI,8.55
M,Nanquan type routines Other routines,E,BRA,Jose Augusto DA SILVA JUNIOR,8.85
M,Nanquan type routines Other routines,E,BEL,Johan CONTI,8.66
M,Nanquan type routines Other routines,E,BRA,Italo Jorge OLIVEIRA SANTOS,8.63
M,Nanquan type routines Other routines,E,USA,Sebastian RAMOS CONTRERAS,8.61
M,Nanquan type routines Other routines,E,AUS,Michael Zhen YU,8.6
M,Nanquan type routines Other routines,E,MAS,TAN Ching Fung,8.55
M,Nanquan type routines Other routines,E,MAS,SIM Sze Kiat,8.54
M,Nanquan type routines Other routines,E,POL,Wlodzimierz Ziec,8.53
M,Nanquan type routines Other routines,E,USA,Christopher HOFFMAN,8.3
M,First type bare hand routines,C,USA,Marshall BRAYTON,8.71
M,First type bare hand routines,C,EGY,Ramy Ramadan Mohamed,8.67
M,First type bare hand routines,C,HKG,WONG Chun Yin Nicholas,8.66
M,First type bare hand routines,C,AIN,Timur KHODZHAKOV,8.63
M,First type bare hand routines,C,UKR,Volodymyr SHYNKARENKO,8.59
M,First type bare hand routines,C,LAT,Edgars ZARINS,8.55
M,First type bare hand routines,C,TUN,Kadri MOHAMED YASSIN,8.53
M,Third type bare hand routines,C,AIN,Boris GORODNIKOV,8.63
M,Third type bare hand routines,C,INA,Calvin Ethanael WIJAYA,8.57
M,Third type bare hand routines,C,USA,Kai HIRAHARA,8.56
M,Third type bare hand routines,C,AUS,Fan-ao KONG,8.54
M,Third type bare hand routines,C,KAZ,Alkarim ZHADIGER,8.5
M,Third type bare hand routines,C,USA,Liam BROWN,8.49
M,Third type bare hand routines,C,SGP,NG Chun Sheng,8.48
M,Third type bare hand routines,C,USA,Brendan WONG,8.46
M,Third type bare hand routines,C,USA,Joshua TJHIN,8.44
M,Third type bare hand routines,C,ROU,Andrei Mario NEDELEA,8.43
