,sex,Form,Group,Rank,Team,Athlete,Score,Remark
104,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,28,EGY,Fares ELSHOURBAGI,8.32,
105,M,Fifth-type bare-hand routines_Shaolinquan ,Group D,29,EGY,Mohamed SHATA,8.12,
106,M,bare-hand routines_Other routines ,Group D,1,CHN,WANG Chongkai,9.23,Gold
107,M,bare-hand routines_Other routines ,Group D,2,CHN,ZHENG Guoqing,9.16,Silver
108,M,bare-hand routines_Other routines ,Group D,3,HKG,WONG Cho Wai Gabriel,9.1,Bronze
109,M,bare-hand routines_Other routines ,Group D,4,UKR,Artem HASHCHUK,9.06,Second Prize
110,M,bare-hand routines_Other routines ,Group D,5,BRA,Lucas MACHADO FRADE GALATI,9.03,Second Prize
111,M,bare-hand routines_Other routines ,Group D,6,JPN,KOJIMA Ryuhei,9.02,Second Prize
112,M,bare-hand routines_Other routines ,Group D,7,NED,Jesse KONICKX,9.01,Second Prize
113,M,bare-hand routines_Other routines ,Group D,8,TUR,Necmettin Erbakan AKYUZ,9.01,Second Prize
114,M,bare-hand routines_Other routines ,Group D,9,BRA,Bruno PAIXaO FERRARI,9,Third Prize
115,M,bare-hand routines_Other routines ,Group D,10,SVK,Patrik HATALA,8.95,Third Prize
116,M,bare-hand routines_Other routines ,Group D,11,NED,Tygo MAAS,8.93,Third Prize
117,M,bare-hand routines_Other routines ,Group D,12,AUS,Alexander Ha TERREY,8.88,Third Prize
118,M,bare-hand routines_Other routines ,Group D,13,MAS,TUNG Ho Yen,8.83,Third Prize
119,M,bare-hand routines_Other routines ,Group D,14,TUR,Osman YALKIN,8.82,Third Prize
120,M,bare-hand routines_Other routines ,Group D,15,GEO,Saba EDILASHVILI,8.8,Third Prize
121,M,bare-hand routines_Other routines ,Group D,16,USA,Aaron KEYS,8.77,
122,M,bare-hand routines_Other routines ,Group D,17,NED,Hill Fung IP,8.76,
123,M,bare-hand routines_Other routines ,Group D,18,EGY,Moustafa EMISH,8.74,
