id,winner,card
19339,TRUE,Tesla
19339,TRUE,Princess
19339,TRUE,Prince
19162,TRUE,Wizard
19162,TRUE,Baby Dragon
19162,TRUE,Mini P.E.K.K.A
19162,TRUE,Hunter
19162,TRUE,Fisherman
19162,TRUE,Witch
19162,TRUE,Ice Golem
19162,TRUE,Skeleton Army
19724,TRUE,Zap
19724,TRUE,Balloon
19724,TRUE,Rage
19724,TRUE,Sparky
19724,TRUE,Prince
19724,TRUE,Archers
19724,TRUE,Wizard
19724,TRUE,Magic Archer
18406,TRUE,Barbarians
18406,TRUE,Goblin Gang
18406,TRUE,Mega Minion
18406,TRUE,Zap
18406,TRUE,Giant
18406,TRUE,Sparky
18406,TRUE,Bats
18406,TRUE,Arrows
19931,FALSE,Ice Wizard
19931,FALSE,Miner
19931,FALSE,P.E.K.K.A
19931,FALSE,Skeleton Army
19931,FALSE,Inferno Dragon
19931,FALSE,Ram Rider
19931,FALSE,The Log
19931,FALSE,Elixir Collector
19360,TRUE,Freeze
19360,TRUE,Wizard
19360,TRUE,Inferno Tower
19360,TRUE,Balloon
19360,TRUE,Mega Knight
19360,TRUE,Valkyrie
19360,TRUE,Witch
19360,TRUE,Skeleton Army
19140,TRUE,Hog Rider
19140,TRUE,Mega Knight
19140,TRUE,Electro Wizard
19140,TRUE,Zap
19140,TRUE,Princess
19140,TRUE,Miner
19140,TRUE,Baby Dragon
19140,TRUE,Bats
16398,TRUE,X-Bow
16398,TRUE,Tesla
16398,TRUE,Archers
16398,TRUE,Ice Golem
16398,TRUE,Ice Spirit
16398,TRUE,Skeletons
16398,TRUE,Fireball
16398,TRUE,The Log
19955,FALSE,Mega Knight
19955,FALSE,Freeze
19955,FALSE,Witch
19955,FALSE,Mini P.E.K.K.A
19955,FALSE,Goblin Gang
19955,FALSE,Arrows
19955,FALSE,Minion Horde
19955,FALSE,Elite Barbarians
18310,FALSE,Balloon
18310,FALSE,Valkyrie
18310,FALSE,Ice Wizard
18310,FALSE,Lumberjack
18310,FALSE,Goblin Gang
18310,FALSE,Electro Wizard
18310,FALSE,Bandit
18310,FALSE,Arrows
2231,FALSE,Rascals
2231,FALSE,Mirror
2231,FALSE,Bats
2231,FALSE,Fireball
2231,FALSE,Lava Hound
2231,FALSE,Skeleton Barrel
2231,FALSE,Magic Archer
2231,FALSE,Clone
1456,TRUE,Golem
1456,TRUE,Night Witch
1456,TRUE,Mirror
1456,TRUE,Electro Wizard
1456,TRUE,Fireball
1456,TRUE,Clone
1456,TRUE,Bats
1456,TRUE,Skeleton Barrel
18303,FALSE,Knight
18303,FALSE,Mega Knight
18303,FALSE,Executioner
18303,FALSE,Zap
18303,FALSE,Hog Rider
18303,FALSE,Fire Spirits
18303,FALSE,Electro Wizard
18303,FALSE,Archers
18470,TRUE,Spear Goblins
18470,TRUE,Magic Archer
18470,TRUE,Barbarians
18470,TRUE,Battle Ram
18470,TRUE,Princess
18470,TRUE,Skeleton Army
18470,TRUE,The Log
18470,TRUE,Elite Barbarians
19844,FALSE,Royal Giant
19844,FALSE,Fireball
19844,FALSE,Barbarian Barrel
19844,FALSE,Baby Dragon
19844,FALSE,Guards
19844,FALSE,Electro Wizard
19844,FALSE,Mega Minion
19844,FALSE,Furnace
18324,TRUE,Mini P.E.K.K.A
18324,TRUE,P.E.K.K.A
18324,TRUE,Baby Dragon
18324,TRUE,Prince
18324,TRUE,Hog Rider
