Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date,AgeClassInd
Ivan Mysyagin,15.5,16-17,65.65,130,82.5,140,352.5,6,277.29,278,270.2,55.1,2018-05-05,0
小早川 哲大,16.5,16-17,72.3,125,80,155,360,17,264.53,263.33,254.84,45.3,2015-08-02,0
Beau Dubois,16.5,16-17,98.86,157.5,130,227.5,515,4,318.58,314.88,300.81,65.42,2019-03-09,0
Cjay Wilson,16.5,16-17,66.7,116,85,155,356,1,276.78,277.13,269.16,55.19,2020-09-13,0
Florian Höfer,16.5,16-17,58.8,112.5,90,137.5,340,4,291.82,295.43,288.82,49.63,2005-10-28,0
Arsen Bugadinov,17,16-17,58.4,100,87.5,145,332.5,1,287.03,290.76,284.37,55.32,2016-04-18,0
Pierce Woodworth,17,16-17,65.4,205,125,205,535,2,422.05,423.26,411.47,83.8,2025-05-28,0
Ryan Meyers,16,16-17,65.1,125,72.5,180,377.5,3,298.83,299.8,291.51,59.28,2023-03-11,0
山中 涼平,16.5,16-17,56.25,125,102.5,175,402.5,1,358.85,364.83,357.6,68.33,2020-12-19,0
Ethan Pylate,16.5,16-17,81,152.5,97.5,200,450,6,308.05,304.84,293.56,63.07,2020-12-12,0
Alessio Curci,17,16-17,81.9,192.5,132.5,242.5,567.5,5,386.02,381.85,367.53,79.09,2025-04-26,0
Anthony Solomon,17,16-17,82.5,183.7,129.27,195.04,508.02,1,344.13,340.33,327.46,58.87,2005-05-21,0
Aleksey Ilyukevich,15.5,16-17,57.7,130,82.5,135,347.5,5,303.07,307.36,300.81,51.48,2009-04-04,0
Štěpán Chvál,16.5,16-17,87.07,155,100,205,460,14,302.55,298.82,286.81,62.17,2025-09-13,0
Boaz van der Waard,16.5,16-17,93.67,175,97.5,227.5,500,46,317.04,313.04,299.53,65.18,2024-03-30,0
Pranshu Bansal,17,16-17,54.9,100,55,120,275,1,250.52,255.3,250.6,42.4,2011-03-05,0
Jack Mondin,17,16-17,90.2,75,132.5,170,377.5,9,243.82,240.72,230.69,50.13,2025-11-15,0
DJ Spurling,17,16-17,97.2,240,145,225,610,9,380.21,375.63,358.99,64.68,2012-03-23,0
Allan Gonzalez,16.5,16-17,105.7,190,107.5,205,502.5,1,302.25,299.58,286.09,61.85,2022-01-22,0
Andrew Bell,16.5,16-17,67.3,185,120,192.5,497.5,1,384.27,384.49,373.28,76.76,2023-10-14,0
Bill Lewis,17.5,18-19,88.6,177.5,115,220,512.5,2,334.04,329.84,316.34,68.66,2011-08-19,0
Ryan Samadi,19,18-19,81.35,200,140,245,585,3,399.47,395.24,380.54,81.81,2026-01-24,0
Wout Vanput,18,18-19,80.7,222.5,140,237.5,600,2,411.62,407.39,392.38,84.25,2025-09-20,0
