fighter_name,Weight,Reach,Stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,birthyear,height_inches
Ali AlQaisi,135,68,Orthodox,2.43,42,1.97,56,3.5,29,60,1,1990,66
Jaime Alvarez,125,69,Orthodox,2.73,40,4.53,56,1,33,50,0,1988,68
Joel Alvarez,155,77,Orthodox,2.84,37,3.31,53,0,0,0,1.6,1994,75
Eddie Alvarez,155,69,Orthodox,4.32,41,4.39,55,2.92,36,92,0.5,1984,69
Thiago Alves,170,70,Orthodox,3.73,41,3.42,62,0.71,60,63,0.3,1983,69
Rafael Alves,145,68,Orthodox,2.02,45,3.66,59,0,0,100,1.9,1990,68
Warlley Alves,170,72,Orthodox,3.09,47,3.62,50,1.48,54,75,1,1991,71
Adlan Amagov,170,76,Orthodox,3.29,47,0.82,78,5.84,56,100,0,1986,74
Sam Alvey,205,75,Southpaw,3.17,44,3.26,55,0.08,16,82,0.1,1986,74
Alen Amedovski,185,74,Orthodox,0.52,28,3.14,37,0,0,0,0,1988,70
Makwan Amirkhani,145,72,Southpaw,1.42,44,2.63,51,3.37,37,57,1.4,1988,70
Eryk Anders,185,75,Southpaw,3.23,46,4.15,51,1.62,35,80,0.1,1987,73
Corey Anderson,205,79,Orthodox,4.43,46,2.22,59,4.89,50,83,0,1989,75
Megan Anderson,145,72,Orthodox,1.76,46,3.35,37,0.52,25,53,0.5,1990,72
Viscardi Andrade,170,75,Orthodox,3.26,42,2.77,63,1.93,50,66,0.3,1984,71
Jessica Andrade,115,62,Orthodox,6.38,49,5.26,53,3.11,57,76,0.4,1991,61
Dylan Andrews,185,74,Switch,2.21,50,2.72,46,2.83,50,57,0.4,1979,73
Collin Anglin,145,71,Orthodox,5.87,55,3.47,58,3,75,100,0,1993,69
Magomed Ankalaev,205,75,Orthodox,3.41,53,1.78,65,1.18,33,85,0,1992,75
Nina Ansaroff,115,64,Orthodox,4.81,47,3.55,54,0.29,40,77,0.6,1985,65
Adam Antolin,125,63,Orthodox,5.73,52,5,69,0,0,100,0,1982,65
Gadzhimurad Antigulov,205,70,Orthodox,2.08,55,4.21,40,5.08,36,0,1.4,1987,71
Shinsho Anzai,170,70,Orthodox,3.23,58,3.75,45,1.83,16,75,0,1985,67
Igor Araujo,170,77,Orthodox,1.52,42,2.86,49,0.86,15,22,0.6,1980,73
Felipe Arantes,135,73,Orthodox,2.37,45,2.66,64,0.93,47,41,0.7,1988,68
Julio Arce,145,70,Southpaw,4.25,36,2.87,67,0.58,30,93,0.6,1989,67
Viviane Araujo,125,68,Orthodox,4.97,48,4.84,60,2.33,64,94,0.2,1986,64
Andrei Arlovski,240,77,Orthodox,3.48,44,2.83,57,0.47,36,78,0.3,1979,75
Akbarh Arreola,155,71,Southpaw,2.32,45,4.01,56,1.07,100,33,0.4,1983,70
Austin Arnett,145,72,Orthodox,4.52,41,6.38,62,0.44,18,57,0.2,1991,72
Matt Arroyo,170,72,Orthodox,1.62,47,2.01,58,2.12,36,100,5.3,1982,70
Antonio Arroyo,185,73,Orthodox,3.08,70,1.72,44,1.4,41,32,0.3,1989,75
Teddy Ash,185,73,Switch,7.27,61,6.8,28,0,0,100,0,1989,73
Askar Askarov,125,67,Orthodox,3.37,55,2.65,56,2.75,28,64,0,1992,66
Cyril Asker,247,74,Orthodox,3.35,39,5.82,35,4.41,62,100,0.9,1985,72
Scott Askham,185,75,Southpaw,3.03,46,3.52,52,0.44,18,65,0.7,1988,75
Ben Askren,170,73,Orthodox,3.64,49,5.66,36,4.33,55,0,0.9,1984,71
Tom Aspinall,256,78,Orthodox,7.43,66,3.06,65,3.54,100,0,1.8,1993,77
Junior Assuncao,145,72,Orthodox,3.31,62,2.06,44,2.43,24,66,0.7,1981,69
Raphael Assuncao,135,66,Orthodox,3.26,40,2.33,68,1.48,38,80,0.3,1982,65
Rich Attonito,170,72,Orthodox,2.28,47,2.13,59,0.74,37,75,0,1977,70
