pick_overall,team,player_name,college,years_played,games_played,total_mins_played,total_pts,total_rebounds,total_assists,fg_percent,three_pt_percent,ft_percent,win_shares,win_shares_per_48,draft_year,mins_per_game,pts_per_game,rebounds_per_game,assists_per_game,round_picked,pick_in_round,draft_pick_group
23,SAC,Omri Casspi,NA,10,588,11959,4642,2355,662,0.454,0.368,0.678,19.6,0.078,2009,20.3,7.9,4,1.1,1,23,Picks 21-30
24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,0.408,0.319,0.706,0.6,0.008,2009,18.2,7.4,4.2,0.8,1,24,Picks 21-30
25,OKC,Rodrigue Beaubois,NA,4,182,2896,1286,338,374,0.439,0.325,0.81,4.8,0.079,2009,15.9,7.1,1.9,2.1,1,25,Picks 21-30
26,CHI,Taj Gibson,USC,13,883,21742,8012,5423,873,0.518,0.239,0.711,57.9,0.128,2009,24.6,9.1,6.1,1,1,26,Picks 21-30
27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,0.43,0.358,0.741,29.5,0.104,2009,23.7,8.9,4.2,1.3,1,27,Picks 21-30
28,MIN,Wayne Ellington,UNC,13,762,15951,6118,1626,846,0.41,0.382,0.843,20.9,0.063,2009,20.9,8,2.1,1.1,1,28,Picks 21-30
29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,0.404,0.354,0.824,12.1,0.077,2009,19.1,7.6,2.2,2.3,1,29,Picks 21-30
30,CLE,Christian Eyenga,NA,2,51,1049,320,137,40,0.411,0.277,0.611,-0.4,-0.02,2009,20.6,6.3,2.7,0.8,1,30,Picks 21-30
1,WAS,John Wall,Kentucky,10,613,21833,11702,2612,5557,0.431,0.323,0.779,44.1,0.097,2010,35.6,19.1,4.3,9.1,1,1,Picks 1-10
2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,0.434,0.294,0.782,20.2,0.051,2010,26.9,9.7,4.6,3.5,1,2,Picks 1-10
3,BRK,Derrick Favors,Georgia Tech,12,789,19184,8348,5605,850,0.534,0.198,0.663,60.3,0.151,2010,24.3,10.6,7.1,1.1,1,3,Picks 1-10
4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,0.404,0.337,0.741,10.7,0.038,2010,22.1,7,3.2,1.1,1,4,Picks 1-10
5,SAC,DeMarcus Cousins,Kentucky,11,631,19183,12575,6542,1935,0.459,0.33,0.737,46,0.115,2010,30.4,19.9,10.4,3.1,1,5,Picks 1-10
6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,0.453,0,0.718,10.4,0.088,2010,14.8,3.5,2.9,0.7,1,6,Picks 1-10
7,DET,Greg Monroe,Georgetown,10,642,17626,8381,5281,1368,0.514,0.059,0.703,50.1,0.137,2010,27.5,13.1,8.2,2.1,1,7,Picks 1-10
8,LAC,Al-Farouq Aminu,Wake Forest,11,711,17698,5350,4280,879,0.42,0.332,0.746,27.6,0.075,2010,24.9,7.5,6,1.2,1,8,Picks 1-10
9,UTA,Gordon Hayward,Butler,12,733,22815,11449,3299,2572,0.453,0.371,0.826,60.2,0.127,2010,31.1,15.6,4.5,3.5,1,9,Picks 1-10
10,IND,Paul George,Fresno State,12,732,24588,14916,4707,2607,0.436,0.381,0.849,76.1,0.149,2010,33.6,20.4,6.4,3.6,1,10,Picks 1-10
11,NOP,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,0.527,0,0.738,9.6,0.135,2010,10,3.1,3.3,0.5,1,11,Picks 11-20
12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,0.8,0.013,2010,15.7,5.7,1.9,0.6,1,12,Picks 11-20
13,TOR,Ed Davis,UNC,12,710,13697,4284,4596,537,0.567,0,0.584,43.1,0.151,2010,19.3,6,6.5,0.8,1,13,Picks 11-20
14,HOU,Patrick Patterson,Kentucky,11,719,14923,4782,2799,736,0.447,0.369,0.755,31.9,0.102,2010,20.8,6.7,3.9,1,1,14,Picks 11-20
15,MIL,Larry Sanders,VCU,6,238,4635,1520,1345,174,0.48,0,0.553,10.3,0.107,2010,19.5,6.4,5.7,0.7,1,15,Picks 11-20
16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,0.408,0.402,0.747,7.2,0.065,2010,14,4.8,2.2,0.6,1,16,Picks 11-20
17,CHI,Kevin Séraphin,NA,7,423,6430,2516,1462,246,0.489,0,0.715,5.9,0.044,2010,15.2,5.9,3.5,0.6,1,17,Picks 11-20
18,OKC,Eric Bledsoe,Kentucky,12,756,21021,10348,2937,3545,0.452,0.336,0.784,46.2,0.105,2010,27.8,13.7,3.9,4.7,1,18,Picks 11-20
19,BOS,Avery Bradley,Texas,12,647,17910,7210,1840,1099,0.434,0.364,0.782,17,0.046,2010,27.7,11.1,2.8,1.7,1,19,Picks 11-20
