player,level,gender,division,team_name,statistic,value
Aaron Bartlett,D1,Men,Division 1 Men,Michigan Magnum,Points,10
Aaron Bartlett,D1,Men,Division 1 Men,Michigan Magnum,Plus Minus,19
Michael Poe,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,Turns,5
Michael Poe,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,Ds,7
Michael Poe,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,Assists,10
Michael Poe,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,Points,6
Michael Poe,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,Plus Minus,18
Macy Vollbrecht,D1,Women,Division 1 Women,Stanford Superfly,Turns,22
Macy Vollbrecht,D1,Women,Division 1 Women,Stanford Superfly,Ds,19
Macy Vollbrecht,D1,Women,Division 1 Women,Stanford Superfly,Assists,13
Macy Vollbrecht,D1,Women,Division 1 Women,Stanford Superfly,Points,8
Macy Vollbrecht,D1,Women,Division 1 Women,Stanford Superfly,Plus Minus,18
Felix Moren,D1,Men,Division 1 Men,Oregon State Beavers,Turns,7
Felix Moren,D1,Men,Division 1 Men,Oregon State Beavers,Ds,0
Felix Moren,D1,Men,Division 1 Men,Oregon State Beavers,Assists,15
Felix Moren,D1,Men,Division 1 Men,Oregon State Beavers,Points,10
Felix Moren,D1,Men,Division 1 Men,Oregon State Beavers,Plus Minus,18
Audrey Stineman,D3,Women,Division 3 Women,Portland UPRoar,Turns,11
Audrey Stineman,D3,Women,Division 3 Women,Portland UPRoar,Ds,8
Audrey Stineman,D3,Women,Division 3 Women,Portland UPRoar,Assists,15
Audrey Stineman,D3,Women,Division 3 Women,Portland UPRoar,Points,6
Audrey Stineman,D3,Women,Division 3 Women,Portland UPRoar,Plus Minus,18
Amelia Hawkins,D1,Women,Division 1 Women,Stanford Superfly,Turns,1
Amelia Hawkins,D1,Women,Division 1 Women,Stanford Superfly,Ds,3
Amelia Hawkins,D1,Women,Division 1 Women,Stanford Superfly,Assists,0
Amelia Hawkins,D1,Women,Division 1 Women,Stanford Superfly,Points,16
Amelia Hawkins,D1,Women,Division 1 Women,Stanford Superfly,Plus Minus,18
Amaya Krutsinger,D1,Women,Division 1 Women,Western Washington Chaos,Turns,13
Amaya Krutsinger,D1,Women,Division 1 Women,Western Washington Chaos,Ds,5
Amaya Krutsinger,D1,Women,Division 1 Women,Western Washington Chaos,Assists,11
Amaya Krutsinger,D1,Women,Division 1 Women,Western Washington Chaos,Points,15
Amaya Krutsinger,D1,Women,Division 1 Women,Western Washington Chaos,Plus Minus,18
Abbie Gillach,D1,Women,Division 1 Women,Colorado Quandary,Turns,17
Abbie Gillach,D1,Women,Division 1 Women,Colorado Quandary,Ds,11
Abbie Gillach,D1,Women,Division 1 Women,Colorado Quandary,Assists,13
Abbie Gillach,D1,Women,Division 1 Women,Colorado Quandary,Points,11
Abbie Gillach,D1,Women,Division 1 Women,Colorado Quandary,Plus Minus,18
