player,level,gender,division,team_name,team_games
Gracie Bender,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Grace Valentine,D3,Women,Division 3 Women,Middlebury Pranksters,5
George Lefkowicz,D1,Men,Division 1 Men,Carleton CUT,5
Gavin May,D1,Men,Division 1 Men,Cal Ursa Major,5
Garrett Bush,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Gage Cowan,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Gabby Wang,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Frederick Huang,D1,Men,Division 1 Men,North Carolina Darkside,6
Fletcher Hayden,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Finn Sheehy,D3,Men,Division 3 Men,Bates Orange Whip,6
Felix Feiger,D1,Men,Division 1 Men,Colorado Mambird,7
Feliks Ciesielski,D1,Men,Division 1 Men,NC State Alpha,6
Evie Angevine,D3,Women,Division 3 Women,Colorado College Zenith,6
Evan Ellis,D1,Men,Division 1 Men,Minnesota Grey Duck,5
Ethan Burgess,D1,Men,Division 1 Men,Colorado Mambird,7
Eric Zhou,D3,Men,Division 3 Men,Williams WUFO,6
Eno Little,D3,Men,Division 3 Men,Bates Orange Whip,6
Ennio Ciambella,D1,Men,Division 1 Men,Ottawa Gee-Gees,5
Emmet Payette,D1,Men,Division 1 Men,Michigan Magnum,5
Emma Murray,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Elspeth Howland,D3,Women,Division 3 Women,Mount Holyoke Daisy Chain,6
Else Gerber,D3,Women,Division 3 Women,Macalester Purse Snatchers,6
Elsa Hoff,D3,Women,Division 3 Women,Colorado College Zenith,6
Elliot Ylagan,D1,Men,Division 1 Men,Texas TUFF,5
Ella Lietzau,D3,Women,Division 3 Women,Occidental WAC,6
Ella Boodell,D3,Women,Division 3 Women,Wellesley Whiptails,6
Elise Francis,D1,Women,Division 1 Women,Utah Spiral Jetty,5
Eliot Duncan,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
Elijah Danley,D1,Men,Division 1 Men,North Carolina Darkside,6
Elias Gradinger,D3,Men,Division 3 Men,Claremont Braineaters,6
Eliana Joftus,D3,Women,Division 3 Women,Occidental WAC,6
Eli Donohue,D1,Women,Division 1 Women,Oregon Fugue,6
Eli Beech-Brown,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Eleni Kauffman,D1,Women,Division 1 Women,Tufts EWO,5
Elena Kamas,D1,Women,Division 1 Women,Stanford Superfly,7
Eden Bogale,D1,Women,Division 1 Women,Washington Element,5
Ed Dowling,D3,Men,Division 3 Men,Carleton CHOP,6
Drew Wentworth,D1,Men,Division 1 Men,Georgia Jojah,5
Dexter Pakula,D1,Men,Division 1 Men,Carleton CUT,5
Devan Hernandez,D1,Men,Division 1 Men,Brown Brownian Motion,8
Declan Murphy,D1,Men,Division 1 Men,Pittsburgh En Sabah Nur,5
David Stamp,D3,Men,Division 3 Men,Franciscan Fatal,6
David Bix,D1,Men,Division 1 Men,Washington University Contra,5
Daniel Williams,D1,Men,Division 1 Men,Colorado Mambird,7
Daniel Marlin,D1,Men,Division 1 Men,Michigan Magnum,5
Daniel Kim,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Daniel Corbo,D3,Men,Division 3 Men,Lewis & Clark Bacchus,6
Daniel Brown,D3,Men,Division 3 Men,St Olaf Berzerkers,6
Daniel Bauman,D1,Men,Division 1 Men,Colorado Mambird,7
Courtney Lawson,D3,Women,Division 3 Women,Union Jillz,6
Corey Sweet,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Copelan Brown,D3,Men,Division 3 Men,Berry Bucks,6
Colman Bashore,D3,Men,Division 3 Men,Middlebury Pranksters,5
Collin Colegate,D3,Men,Division 3 Men,Davenport Panthers,6
Clay Haddock,D1,Men,Division 1 Men,Carleton CUT,5
Clara Bass,D3,Women,Division 3 Women,Middlebury Pranksters,5
Claire Mollen,D1,Women,Division 1 Women,Michigan Flywheel,5
Cianna Burr,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Christopher O'Mara,D3,Men,Division 3 Men,Carleton CHOP,6
Christopher Elvin,D3,Men,Division 3 Men,Richmond Spidermonkeys,6
Christian Johnson,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Chris Youngblood,D1,Men,Division 1 Men,Alabama-Huntsville Nightmares,5
Charlotte Moynihan,D3,Women,Division 3 Women,Mount Holyoke Daisy Chain,6
Charlie Leightheiser,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Charlie LaPorte,D3,Women,Division 3 Women,Portland UPRoar,6
Charlie Huang,D1,Men,Division 1 Men,Michigan Magnum,5
Charles Gluck,D1,Men,Division 1 Men,Washington University Contra,5
Celia Flory,D1,Women,Division 1 Women,Michigan Flywheel,5
Catrina Sada,D1,Women,Division 1 Women,California - Santa Barbara Burning Skirts,5
Catherine Huang,D1,Women,Division 1 Women,Washington Element,5
Carolina Weiss,D1,Women,Division 1 Women,SUNY - Binghamton Big Bear,5
Carmen Morris,D1,Women,Division 1 Women,California - Santa Cruz Sol,5
Carly Smithmier,D3,Women,Division 3 Women,St Olaf Vortex,5
Camilo Tamayo-Rousseau,D1,Men,Division 1 Men,Brown Brownian Motion,8
Cameron White,D3,Men,Division 3 Men,Oklahoma Christian Eagles,5
Cameron Taleghani,D1,Men,Division 1 Men,Cal Ursa Major,5
Callahan Phinney,D1,Men,Division 1 Men,Oregon EGO,6
Calla Grafton-Freeze,D1,Women,Division 1 Women,Victoria Vikes,5
Cale Ellingson,D1,Men,Division 1 Men,Vermont Chill,5
Calder Lange,D3,Men,Division 3 Men,Middlebury Pranksters,5
Cady Carr,D3,Women,Division 3 Women,Occidental WAC,6
Bryan Dole,D1,Men,Division 1 Men,Massachusetts Zoodisc,5
Brianna Johnson,D1,Women,Division 1 Women,Stanford Superfly,7
Brendan Banfield,D3,Men,Division 3 Men,Carleton CHOP,6
Bradley Kerr,D1,Men,Division 1 Men,Michigan Magnum,5
Beorn Morrow-Caron,D1,Men,Division 1 Men,Vermont Chill,5
Benson Cady,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Benjamin Scott-Lewis,D1,Men,Division 1 Men,Carleton CUT,5
Benjamin Perry,D3,Men,Division 3 Men,Rochester Piggies,6
Benjamin Parsons,D3,Men,Division 3 Men,Oberlin Flying Horsecows,6
Benjamin Goldstein,D3,Men,Division 3 Men,Rochester Piggies,6
Ben Lodahl,D1,Men,Division 1 Men,Oregon State Beavers,5
Beckett Schafer,D3,Men,Division 3 Men,Carleton CHOP,6
Bailey Prochaska,D1,Men,Division 1 Men,Cal Poly-SLO Slocore,7
Avani Marmer,D3,Women,Division 3 Women,Haverford/Bryn Mawr Sneetches,6
Ava Day,D1,Women,Division 1 Women,Washington Element,5
