tourney_name,surface,result,player,rank,hand,height,country,age,best_of,minutes,numAces,numDF,servePoints,first_serve_in,first_serve_won,second_serve_won,serve_games_won,break_points_saved,break_points_faced
Pune,Hard,Winner,Pedro Martinez,62,R,185,ESP,25.6,3,132,0,3,77,54,42,10,12,6,7
Pune,Hard,Loser,Sebastian Baez,43,R,170,ARG,22,3,132,5,1,85,66,43,6,13,6,10
Pune,Hard,Winner,Aslan Karatsev,59,R,185,RUS,29.3,3,129,9,6,88,57,47,16,12,1,2
Pune,Hard,Winner,Filip Krajinovic,54,R,185,SRB,30.8,3,130,9,0,93,67,47,12,14,5,8
Pune,Hard,Loser,Michael Mmoh,113,R,188,USA,24.9,3,130,4,1,72,42,29,19,13,0,3
Pune,Hard,Winner,Benjamin Bonzi,60,R,185,FRA,26.5,3,80,5,2,65,47,38,9,10,1,1
Pune,Hard,Loser,Emil Ruusuvuori,40,R,188,FIN,23.7,3,80,5,2,50,36,27,7,9,0,2
Pune,Hard,Winner,Maximilian Marterer,159,L,191,GER,27.5,3,91,11,2,63,45,34,14,10,0,0
Pune,Hard,Loser,Laslo Djere,70,R,188,SRB,27.5,3,91,6,3,66,40,30,13,10,7,9
Pune,Hard,Winner,Botic Van De Zandschulp,35,R,188,NED,27.2,3,93,2,3,64,41,30,13,11,4,6
Pune,Hard,Loser,Flavio Cobolli,171,R,NA,ITA,20.6,3,93,5,0,59,38,24,9,11,0,4
Pune,Hard,Winner,Roberto Carballes Baena,74,R,183,ESP,29.7,3,100,0,1,60,41,28,10,9,3,4
Pune,Hard,Loser,Bernabe Zapata Miralles,72,R,185,ESP,25.9,3,100,4,5,79,51,31,10,10,4,9
Pune,Hard,Winner,Marco Cecchinato,101,R,185,ITA,30.2,3,55,3,0,43,22,18,16,8,1,1
Pune,Hard,Winner,Tallon Griekspoor,95,R,188,NED,26.5,3,94,10,6,63,43,36,9,11,1,2
Pune,Hard,Loser,Jaume Munar,58,R,183,ESP,25.6,3,94,2,1,60,46,30,9,11,2,5
Pune,Hard,Winner,Pedro Martinez,62,R,185,ESP,25.6,3,148,2,5,103,70,49,16,15,8,11
Pune,Hard,Loser,Radu Albot,103,R,175,MDA,33.1,3,86,2,4,60,37,28,10,10,1,3
Pune,Hard,Winner,Aslan Karatsev,59,R,185,RUS,29.3,3,63,5,1,40,26,23,9,8,0,0
